"ID","UPRN","EASTING","NORTHING","LATITUDE","LONGITUDE"
5842,137935,357809,170580,51.4326389,-2.6083115
6396,137971,356946,170578,51.4325556,-2.6207247
6408,137982,361920,170577,51.4329036,-2.5491747
6421,137990,359812,170576,51.432749,-2.5794974
6422,137997,360904,170576,51.4328254,-2.5637891
6433,137998,359862,170576,51.4327526,-2.5787782
6434,138011,356720,170574,51.4325022,-2.6239747
6441,138024,361997,170573,51.4328728,-2.5480666
6461,138051,358452,170571,51.4326058,-2.599061
6496,138084,359352,170568,51.4326442,-2.5861139
6503,138097,357975,170567,51.4325345,-2.6059221
6397,138129,357467,170564,51.4324694,-2.613229
6398,138137,356876,170563,51.4324153,-2.6217297
6423,138157,357468,170561,51.4324425,-2.6132143
6454,138199,360108,170558,51.4326081,-2.5752372
6474,138217,361816,170556,51.4327078,-2.5506684
6497,138251,358448,170553,51.4324436,-2.5991164
6504,138259,361983,170552,51.4326831,-2.5482657
6505,138260,357573,170552,51.4323695,-2.6117028
6523,138280,361774,170551,51.43266,-2.551272
6380,138296,356923,170550,51.4323021,-2.6210521
6385,138297,358645,170550,51.4324311,-2.5962822
6386,138299,356857,170549,51.432288,-2.6220012
6387,138300,357570,170549,51.4323423,-2.6117456
6399,138310,361093,170548,51.4325867,-2.5610674
6400,138312,357446,170548,51.4323239,-2.6135291
6401,138314,358320,170547,51.4323803,-2.600957
6409,138317,357477,170547,51.4323173,-2.6130831
6410,138321,362081,170547,51.4326447,-2.5468555
6424,138325,356281,170547,51.4322254,-2.6302854
6455,138375,362084,170542,51.4325999,-2.5468118
6462,138380,358091,170542,51.4323184,-2.6042505
6463,138381,357480,170542,51.4322726,-2.6130394
6464,138383,360521,170542,51.4324932,-2.5692946
6475,138388,361896,170542,51.4325873,-2.5495161
6506,138429,358089,170539,51.4322912,-2.6042789
6388,138467,358317,170535,51.4322721,-2.6009987
6411,138480,361844,170534,51.4325119,-2.5502632
6412,138482,357484,170534,51.4322009,-2.6129809
6442,138517,356831,170531,51.4321242,-2.622373
6445,138525,358316,170531,51.4322361,-2.6010126
6483,138573,362095,170526,51.4324568,-2.5466519
6487,138575,358349,170526,51.4321936,-2.6005373
6488,138584,358316,170525,51.4321822,-2.6010119
6507,138601,357456,170523,51.4320999,-2.6133823
6381,138622,359186,170521,51.4322097,-2.5884965
6389,138634,358186,170520,51.4321276,-2.6028813
6484,138726,358312,170511,51.432056,-2.6010678
6489,138740,356869,170510,51.4319383,-2.6218239
6508,138754,360798,170509,51.4322157,-2.5653064
6413,138814,361009,170503,51.4321763,-2.5622707
6435,138826,360598,170502,51.4321389,-2.5681825
6436,138831,356838,170502,51.431864,-2.6222688
6446,138852,359160,170501,51.432028,-2.5888681
6490,138894,359068,170499,51.4320034,-2.5901913
6498,138911,358475,170498,51.4319511,-2.5987215
6509,138912,356943,170498,51.4318361,-2.6207582
6510,138916,361737,170497,51.432172,-2.5517983
6402,138954,358580,170494,51.4319229,-2.5972106
6403,138955,358344,170494,51.4319055,-2.6006054
6404,138960,359151,170494,51.4319644,-2.5889968
6414,138961,360025,170494,51.4320269,-2.5764239
6415,138969,358528,170492,51.4319011,-2.5979584
6437,138982,358066,170491,51.431858,-2.604604
6476,139042,360419,170486,51.4319826,-2.5707555
6485,139048,360295,170486,51.4319739,-2.5725391
6499,139068,357840,170484,51.4317781,-2.6078541
6516,139090,358209,170481,51.4317787,-2.6025458
6382,139103,361929,170480,51.4320321,-2.5490347
6390,139106,357816,170480,51.4317404,-2.6081988
6391,139107,359838,170480,51.4318877,-2.5791124
6405,139115,358608,170479,51.43179,-2.596806
6416,139129,360592,170478,51.4319227,-2.5682661
6425,139138,358055,170476,51.4317223,-2.6047605
6456,139174,358562,170473,51.4317327,-2.597467
6465,139186,356785,170472,51.4315902,-2.6230274
6466,139193,358479,170471,51.4317087,-2.5986607
6392,139255,360934,170469,51.4318654,-2.5633457
6406,139264,356944,170468,51.4315665,-2.6207401
6407,139265,358013,170468,51.4316472,-2.6053637
6417,139271,357747,170467,51.4316183,-2.6091898
6447,139313,357530,170463,51.431566,-2.6123107
6457,139318,361742,170463,51.4318666,-2.5517227
6467,139329,359068,170462,51.4316707,-2.590187
6491,139356,358334,170460,51.4315991,-2.6007452
6500,139367,356637,170459,51.4314619,-2.6251545
6517,139385,357529,170458,51.431521,-2.6123244
6383,139396,356759,170457,51.4314533,-2.6233996
6418,139428,360308,170455,51.4316961,-2.5723486
6426,139440,357527,170454,51.4314849,-2.6123527
6427,139443,361012,170454,51.4317359,-2.5622221
6443,139456,356852,170453,51.4314245,-2.6220615
6458,139480,356979,170451,51.4314163,-2.6202347
6459,139482,357813,170450,51.4314704,-2.6082384
6468,139487,360720,170450,51.4316798,-2.5664218
6469,139495,358202,170449,51.4314904,-2.6026427
6477,139498,360341,170449,51.4316445,-2.5718733
6492,139525,360597,170447,51.4316443,-2.5681907
6493,139532,357575.7,170447.21,51.4314275,-2.6116514
6511,139553,360815,170445,51.4316414,-2.5650547
6384,139569,357570,170443,51.4313892,-2.6117329
6393,139578,361715,170443,51.431685,-2.5521089
6394,139579,358288,170442,51.4314338,-2.6014048
6428,139614,356977,170438,51.4312993,-2.6202619
6438,139617,359455,170438,51.4314828,-2.5846171
